0,90,5
1,80,9
2,7,63
3,32,36
4,28,41
5,28,96
6,98,83
7,48,50
8,62,19
9,71,96
10,61,87
11,69,97
12,61,87
13,7,23
14,25,52
15,88,49
16,96,46
17,49,77
18,52,27
19,70,7
20,71,70
21,89,76
22,35,3
23,83,77
24,98,73
25,45,24
26,77,10
27,89,86
28,22,74
29,71,44
30,17,35
31,99,27
32,59,68
33,70,54
34,7,66
35,17,66
36,99,88
37,69,22
38,27,88
39,96,18
40,57,48
41,56,47
42,4,34
43,80,57
44,34,92
45,57,39
46,58,3
47,43,56
48,60,83
49,13,67
50,68,28
51,53,86
52,65,24
53,29,13
54,62,37
55,27,61
56,36,38
57,52,56
58,59,10
59,74,27
60,39,66
61,72,94
62,51,45
63,27,37
64,81,66
65,94,85
66,94,60
67,54,51
68,33,69
69,24,29
70,39,81
71,85,70
72,69,39
73,85,87
74,97,24
75,59,35
76,36,87
77,45,13
78,21,53
79,83,2
80,32,73
81,70,91
82,77,48
83,20,12
84,20,83
85,19,34
86,15,14
87,41,8
88,41,90
89,90,32
90,19,39
91,16,39
92,85,20
93,79,6
94,72,55
95,39,39
96,91,44
97,41,45
98,39,82
99,64,71
